"Games,Year,Sport,Discipline,Athlete,Team,Gender,Event,Medal,Gold,Silver,Bronze"
"Berlin (1936),1936,Athletics,Athletics,Jadwiga Wajsourna,POL,Women,discus throw women,Silver,0,1,0"
"Berlin (1936),1936,Athletics,Athletics,Alfred Warngard,SWE,Men,hammer throw men,Bronze,0,0,1"
"Berlin (1936),1936,Athletics,Athletics,Karl Hein,GER,Men,hammer throw men,Gold,1,0,0"
"Berlin (1936),1936,Athletics,Athletics,Erwin Blask,GER,Men,hammer throw men,Silver,0,1,0"
"Berlin (1936),1936,Athletics,Athletics,Delos Packard Thurber,USA,Men,high jump men,Bronze,0,0,1"
"Berlin (1936),1936,Athletics,Athletics,Cornelius Cooper Johnson,USA,Men,high jump men,Gold,1,0,0"
"Berlin (1936),1936,Athletics,Athletics,David Donald Albritton,USA,Men,high jump men,Silver,0,1,0"
"Berlin (1936),1936,Athletics,Athletics,Elfriede Kaun,GER,Women,high jump women,Bronze,0,0,1"
"Berlin (1936),1936,Athletics,Athletics,Ibolya Csak,HUN,Women,high jump women,Gold,1,0,0"
"Berlin (1936),1936,Athletics,Athletics,Dorothy Beatrice J. Odam-tyler,GBR,Women,high jump women,Silver,0,1,0"
"Berlin (1936),1936,Athletics,Athletics,Kaarlo Kalervo Toivonen,FIN,Men,javelin throw men,Bronze,0,0,1"
"Berlin (1936),1936,Athletics,Athletics,Gerhard (Gerd) StÃ¶ck,GER,Men,javelin throw men,Gold,1,0,0"
"Berlin (1936),1936,Athletics,Athletics,Yrjo Jouko Nikkanen,FIN,Men,javelin throw men,Silver,0,1,0"
"Berlin (1936),1936,Athletics,Athletics,Marja Jadwiga Kwasniewska-maleszewska,POL,Women,javelin throw women,Bronze,0,0,1"
"Berlin (1936),1936,Athletics,Athletics,Mathilde (Tilly) Fleischer,GER,Women,javelin throw women,Gold,1,0,0"
"Berlin (1936),1936,Athletics,Athletics,Luise KrÃ¼ger,GER,Women,javelin throw women,Silver,0,1,0"
"Berlin (1936),1936,Athletics,Athletics,Naoto Tajima,JPN,Men,long jump men,Bronze,0,0,1"
"Berlin (1936),1936,Athletics,Athletics,Jesse Owens,USA,Men,long jump men,Gold,1,0,0"
"Berlin (1936),1936,Athletics,Athletics,Carl Ludwig Luz Long,GER,Men,long jump men,Silver,0,1,0"
"Berlin (1936),1936,Athletics,Athletics,Shoryu Nan,JPN,Men,marathon men,Bronze,0,0,1"
"Berlin (1936),1936,Athletics,Athletics,Kitei Son,JPN,Men,marathon men,Gold,1,0,0"
"Berlin (1936),1936,Athletics,Athletics,Ernest Harper,GBR,Men,marathon men,Silver,0,1,0"
"Berlin (1936),1936,Athletics,Athletics,Sueo Oe,JPN,Men,pole vault men,Bronze,0,0,1"
"Berlin (1936),1936,Athletics,Athletics,Earle Elmer Meadows,USA,Men,pole vault men,Gold,1,0,0"
"Berlin (1936),1936,Athletics,Athletics,Shuhei Nishida,JPN,Men,pole vault men,Silver,0,1,0"
"Berlin (1936),1936,Athletics,Athletics,Gerhard (Gerd) StÃ¶ck,GER,Men,shot put men,Bronze,0,0,1"
"Berlin (1936),1936,Athletics,Athletics,Hans Woellke,GER,Men,shot put men,Gold,1,0,0"
"Berlin (1936),1936,Athletics,Athletics,Sulo BÃ¤rlund,FIN,Men,shot put men,Silver,0,1,0"
"Berlin (1936),1936,Athletics,Athletics,John Patrick Metcalfe,AUS,Men,triple jump men,Bronze,0,0,1"
"Berlin (1936),1936,Athletics,Athletics,Naoto Tajima,JPN,Men,triple jump men,Gold,1,0,0"
"Berlin (1936),1936,Athletics,Athletics,Masao Harada,JPN,Men,triple jump men,Silver,0,1,0"
"Berlin (1936),1936,Basketball,Basketball,Carlos Borja morca,MEX,Men,basketball men,Bronze,0,0,1"
"Berlin (1936),1936,Basketball,Basketball,Victor Hugo Borja morca,MEX,Men,basketball men,Bronze,0,0,1"
"Berlin (1936),1936,Basketball,Basketball,Rodolfo Choperena irizarri,MEX,Men,basketball men,Bronze,0,0,1"
"Berlin (1936),1936,Basketball,Basketball,Luis Ignacio De la vega leija,MEX,Men,basketball men,Bronze,0,0,1"
"Berlin (1936),1936,Basketball,Basketball,Raul Fernandez robert,MEX,Men,basketball men,Bronze,0,0,1"
"Berlin (1936),1936,Basketball,Basketball,Andres Gomez dominguez,MEX,Men,basketball men,Bronze,0,0,1"
"Berlin (1936),1936,Basketball,Basketball,Silvio Hernandez del valle,MEX,Men,basketball men,Bronze,0,0,1"
"Berlin (1936),1936,Basketball,Basketball,Francisco Martinez cordero,MEX,Men,basketball men,Bronze,0,0,1"
"Berlin (1936),1936,Basketball,Basketball,Jesus Olmoz moreno,MEX,Men,basketball men,Bronze,0,0,1"
"Berlin (1936),1936,Basketball,Basketball,Jose Pamplona lecuanda,MEX,Men,basketball men,Bronze,0,0,1"
"Berlin (1936),1936,Basketball,Basketball,Greer S. Skousen spilsbury,MEX,Men,basketball men,Bronze,0,0,1"
"Berlin (1936),1936,Basketball,Basketball,Samuel J. Jr. Balter,USA,Men,basketball men,Gold,1,0,0"
"Berlin (1936),1936,Basketball,Basketball,Ralph English Bishop,USA,Men,basketball men,Gold,1,0,0"
"Berlin (1936),1936,Basketball,Basketball,Joseph Cephis Fortenberry,USA,Men,basketball men,Gold,1,0,0"
"Berlin (1936),1936,Basketball,Basketball,John Haskell Gibbons,USA,Men,basketball men,Gold,1,0,0"
"Berlin (1936),1936,Basketball,Basketball,Francis Lee Johnson,USA,Men,basketball men,Gold,1,0,0"
"Berlin (1936),1936,Basketball,Basketball,Carl Stanley Knowles,USA,Men,basketball men,Gold,1,0,0"
"Berlin (1936),1936,Basketball,Basketball,Frank John Lubin,USA,Men,basketball men,Gold,1,0,0"
"Berlin (1936),1936,Basketball,Basketball,Arthur Owen Mollner,USA,Men,basketball men,Gold,1,0,0"
"Berlin (1936),1936,Basketball,Basketball,Donald Arthur Piper,USA,Men,basketball men,Gold,1,0,0"
"Berlin (1936),1936,Basketball,Basketball,Jack Williamson Ragland,USA,Men,basketball men,Gold,1,0,0"
"Berlin (1936),1936,Basketball,Basketball,Willard Theodore Schmidt,USA,Men,basketball men,Gold,1,0,0"
"Berlin (1936),1936,Basketball,Basketball,Carl L. Shy,USA,Men,basketball men,Gold,1,0,0"
"Berlin (1936),1936,Basketball,Basketball,Duane Alexander Swanson,USA,Men,basketball men,Gold,1,0,0"
"Berlin (1936),1936,Basketball,Basketball,William John Wheatley,USA,Men,basketball men,Gold,1,0,0"
"Berlin (1936),1936,Basketball,Basketball,Gordon Aitchison,CAN,Men,basketball men,Silver,0,1,0"
"Berlin (1936),1936,Basketball,Basketball,Jan Alistair Allison,CAN,Men,basketball men,Silver,0,1,0"
"Berlin (1936),1936,Basketball,Basketball,Arthur St.Clair Chapman,CAN,Men,basketball men,Silver,0,1,0"
"Berlin (1936),1936,Basketball,Basketball,Charles Winston Chapman,CAN,Men,basketball men,Silver,0,1,0"
"Berlin (1936),1936,Basketball,Basketball,Edward John Dawson,CAN,Men,basketball men,Silver,0,1,0"
"Berlin (1936),1936,Basketball,Basketball,Irving Meretsky,CAN,Men,basketball men,Silver,0,1,0"
"Berlin (1936),1936,Basketball,Basketball,James Douglas Peden,CAN,Men,basketball men,Silver,0,1,0"
"Berlin (1936),1936,Basketball,Basketball,James Stewart,CAN,Men,basketball men,Silver,0,1,0"
"Berlin (1936),1936,Basketball,Basketball,Malcolm Edward Wiseman,CAN,Men,basketball men,Silver,0,1,0"
"Berlin (1936),1936,Boxing,Boxing,Louis Daniel Lauria,USA,Men,- 50.8kg (flyweight) men,Bronze,0,0,1"
"Berlin (1936),1936,Boxing,Boxing,Willi Kaiser,GER,Men,- 50.8kg (flyweight) men,Gold,1,0,0"
"Berlin (1936),1936,Boxing,Boxing,Gavino Matta,ITA,Men,- 50.8kg (flyweight) men,Silver,0,1,0"
"Berlin (1936),1936,Boxing,Boxing,Erling Nilsen,NOR,Men,+ 79.38kg (heavyweight) men,Bronze,0,0,1"
"Berlin (1936),1936,Boxing,Boxing,Herbert Runge,GER,Men,+ 79.38kg (heavyweight) men,Gold,1,0,0"
"Berlin (1936),1936,Boxing,Boxing,Jose Guillermo Lovell,ARG,Men,+ 79.38kg (heavyweight) men,Silver,0,1,0"
"Berlin (1936),1936,Boxing,Boxing,Fidel Ortiz,MEX,Men,50.8 - 54kg (bantamweight) men,Bronze,0,0,1"
"Berlin (1936),1936,Boxing,Boxing,Ulderico Sergo,ITA,Men,50.8 - 54kg (bantamweight) men,Gold,1,0,0"
"Berlin (1936),1936,Boxing,Boxing,Jack Wilson,USA,Men,50.8 - 54kg (bantamweight) men,Silver,0,1,0"
"Berlin (1936),1936,Boxing,Boxing,Josef Miner,GER,Men,54 - 57.15kg (featherweight) men,Bronze,0,0,1"
"Berlin (1936),1936,Boxing,Boxing,Oscar Casanovas,ARG,Men,54 - 57.15kg (featherweight) men,Gold,1,0,0"
"Berlin (1936),1936,Boxing,Boxing,Charles Catterall,RSA,Men,54 - 57.15kg (featherweight) men,Silver,0,1,0"
"Berlin (1936),1936,Boxing,Boxing,Erik Agren,SWE,Men,57.15 - 61.24kg (lightweight) men,Bronze,0,0,1"
"Berlin (1936),1936,Boxing,Boxing,Imre Harangi,HUN,Men,57.15 - 61.24kg (lightweight) men,Gold,1,0,0"
"Berlin (1936),1936,Boxing,Boxing,Nikolai Stepulov,EST,Men,57.15 - 61.24kg (lightweight) men,Silver,0,1,0"
"Berlin (1936),1936,Boxing,Boxing,Gerhard Sigvald Petersen,DEN,Men,61.24 - 66.68kg (welterweight) men,Bronze,0,0,1"
"Berlin (1936),1936,Boxing,Boxing,Sten Suvio,FIN,Men,61.24 - 66.68kg (welterweight) men,Gold,1,0,0"
"Berlin (1936),1936,Boxing,Boxing,Michael Murach,GER,Men,61.24 - 66.68kg (welterweight) men,Silver,0,1,0"
"Berlin (1936),1936,Boxing,Boxing,Raul Vicente Villareal,ARG,Men,66.68 - 72.57kg (middleweight) men,Bronze,0,0,1"
"Berlin (1936),1936,Boxing,Boxing,Jean Despeaux,FRA,Men,66.68 - 72.57kg (middleweight) men,Gold,1,0,0"
"Berlin (1936),1936,Boxing,Boxing,Henry Tiller,NOR,Men,66.68 - 72.57kg (middleweight) men,Silver,0,1,0"
"Berlin (1936),1936,Boxing,Boxing,Francisco Risiglione,ARG,Men,72.57 - 79.38kg (light-heavyweight) men,Bronze,0,0,1"
"Berlin (1936),1936,Boxing,Boxing,Roger Michelot,FRA,Men,72.57 - 79.38kg (light-heavyweight) men,Gold,1,0,0"
"Berlin (1936),1936,Boxing,Boxing,Richard Vogt,GER,Men,72.57 - 79.38kg (light-heavyweight) men,Silver,0,1,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Erich Koschik,GER,Men,C-1 1000m (canoe single) men,Bronze,0,0,1"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Frank Amyot,CAN,Men,C-1 1000m (canoe single) men,Gold,1,0,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Bohuslav Karlik,TCH,Men,C-1 1000m (canoe single) men,Silver,0,1,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Karl Proisl,AUT,Men,C-2 10000m men,Bronze,0,0,1"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Rupert Weinstabl,AUT,Men,C-2 10000m men,Bronze,0,0,1"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Vaclav Mottl,TCH,Men,C-2 10000m men,Gold,1,0,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Zdenek Skrlant,TCH,Men,C-2 10000m men,Gold,1,0,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Harvey Blashford Charters,CAN,Men,C-2 10000m men,Silver,0,1,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Frank Warren Saker,CAN,Men,C-2 10000m men,Silver,0,1,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Harvey Blashford Charters,CAN,Men,C-2 1000m (canoe double) men,Bronze,0,0,1"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Frank Warren Saker,CAN,Men,C-2 1000m (canoe double) men,Bronze,0,0,1"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Jan Brzak-felix,TCH,Men,C-2 1000m (canoe double) men,Gold,1,0,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Vladimir Syrovatka,TCH,Men,C-2 1000m (canoe double) men,Gold,1,0,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Edletitsch,AUT,Men,C-2 1000m (canoe double) men,Silver,0,1,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Kampfl,AUT,Men,C-2 1000m (canoe double) men,Silver,0,1,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Xaver HÃ¶rmann,GER,Men,folding K-1 10000m men,Bronze,0,0,1"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Gregor Hradetzky,AUT,Men,folding K-1 10000m men,Gold,1,0,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Henri Eberhart,FRA,Men,folding K-1 10000m men,Silver,0,1,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Cornelis Wijdekop,NED,Men,folding K-2 10000m men,Bronze,0,0,1"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Pieter Wijdekop,NED,Men,folding K-2 10000m men,Bronze,0,0,1"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Erik BladstrÃ¶m,SWE,Men,folding K-2 10000m men,Gold,1,0,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Sven Johansson,SWE,Men,folding K-2 10000m men,Gold,1,0,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Erich Hanisch,GER,Men,folding K-2 10000m men,Silver,0,1,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Willy Horn,GER,Men,folding K-2 10000m men,Silver,0,1,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Ernest Riedel,USA,Men,K-1 10000m men,Bronze,0,0,1"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Ernst Krebs,GER,Men,K-1 10000m men,Gold,1,0,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Fritz Landertinger,AUT,Men,K-1 10000m men,Silver,0,1,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Jacobus Kraaier,NED,Men,K-1 1000m (kayak single) men,Bronze,0,0,1"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Gregor Hradetzky,AUT,Men,K-1 1000m (kayak single) men,Gold,1,0,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Helmut CÃ¤mmerer,GER,Men,K-1 1000m (kayak single) men,Silver,0,1,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Tage Fahlborg,SWE,Men,K-2 10000m men,Bronze,0,0,1"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Helge Larsson,SWE,Men,K-2 10000m men,Bronze,0,0,1"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Ludwig Landen,GER,Men,K-2 10000m men,Gold,1,0,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Paul Wevers,GER,Men,K-2 10000m men,Gold,1,0,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Viktor Kalisch,AUT,Men,K-2 10000m men,Silver,0,1,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Karl Steinhuber,AUT,Men,K-2 10000m men,Silver,0,1,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Nicolaas Tates,NED,Men,K-2 1000m (kayak double) men,Bronze,0,0,1"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Willem Frederik Van der kroft,NED,Men,K-2 1000m (kayak double) men,Bronze,0,0,1"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Alfons Dorfner,AUT,Men,K-2 1000m (kayak double) men,Gold,1,0,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Adolf Kainz,AUT,Men,K-2 1000m (kayak double) men,Gold,1,0,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Fritz Bondroit,GER,Men,K-2 1000m (kayak double) men,Silver,0,1,0"
"Berlin (1936),1936,Canoe / Kayak,Canoe / Kayak F,Ewald Tilker,GER,Men,K-2 1000m (kayak double) men,Silver,0,1,0"
"Berlin (1936),1936,Cycling,Cycling Road,Ernst Nievergelt,SUI,Men,individual road race men,Bronze,0,0,1"
"Berlin (1936),1936,Cycling,Cycling Road,Robert Charpentier,FRA,Men,individual road race men,Gold,1,0,0"
"Berlin (1936),1936,Cycling,Cycling Road,Guy Lapebie,FRA,Men,individual road race men,Silver,0,1,0"
"Berlin (1936),1936,Cycling,Cycling Road,Auguste Garrebeek,BEL,Men,team time trial men,Bronze,0,0,1"
"Berlin (1936),1936,Cycling,Cycling Road,Armand Putzeys,BEL,Men,team time trial men,Bronze,0,0,1"
"Berlin (1936),1936,Cycling,Cycling Road,Francois Vandermotte,BEL,Men,team time trial men,Bronze,0,0,1"
"Berlin (1936),1936,Cycling,Cycling Road,Robert Charpentier,FRA,Men,team time trial men,Gold,1,0,0"
"Berlin (1936),1936,Cycling,Cycling Road,Robert Dorgebray,FRA,Men,team time trial men,Gold,1,0,0"
"Berlin (1936),1936,Cycling,Cycling Road,Guy Lapebie,FRA,Men,team time trial men,Gold,1,0,0"
"Berlin (1936),1936,Cycling,Cycling Road,Edgar Buchwalder,SUI,Men,team time trial men,Silver,0,1,0"
"Berlin (1936),1936,Cycling,Cycling Road,Ernst Nievergelt,SUI,Men,team time trial men,Silver,0,1,0"
"Berlin (1936),1936,Cycling,Cycling Road,Kurt Ott,SUI,Men,team time trial men,Silver,0,1,0"
"Berlin (1936),1936,Cycling,Cycling Track,Rudolf Karsch,GER,Men,1km time trial men,Bronze,0,0,1"
"Berlin (1936),1936,Cycling,Cycling Track,Arie Gerrit Van vliet,NED,Men,1km time trial men,Gold,1,0,0"
"Berlin (1936),1936,Cycling,Cycling Track,Pierre Georget,FRA,Men,1km time trial men,Silver,0,1,0"
"Berlin (1936),1936,Cycling,Cycling Track,Pierre Georget,FRA,Men,2000m tandem men,Bronze,0,0,1"
"Berlin (1936),1936,Cycling,Cycling Track,Georges Maton,FRA,Men,2000m tandem men,Bronze,0,0,1"
"Berlin (1936),1936,Cycling,Cycling Track,Ernst Ihbe,GER,Men,2000m tandem men,Gold,1,0,0"
"Berlin (1936),1936,Cycling,Cycling Track,Carly Lorenz,GER,Men,2000m tandem men,Gold,1,0,0"
"Berlin (1936),1936,Cycling,Cycling Track,Bernardus Petrus Leene,NED,Men,2000m tandem men,Silver,0,1,0"
"Berlin (1936),1936,Cycling,Cycling Track,Hendrik Ooms,NED,Men,2000m tandem men,Silver,0,1,0"
"Berlin (1936),1936,Cycling,Cycling Track,Louis Chaillot,FRA,Men,Sprint indivual men,Bronze,0,0,1"
"Berlin (1936),1936,Cycling,Cycling Track,Anton (Toni) Merkens,GER,Men,Sprint indivual men,Gold,1,0,0"
"Berlin (1936),1936,Cycling,Cycling Track,Arie Gerrit Van vliet,NED,Men,Sprint indivual men,Silver,0,1,0"
"Berlin (1936),1936,Cycling,Cycling Track,Harry Heaton Hill,GBR,Men,Team Pursuit (4000m) men,Bronze,0,0,1"
"Berlin (1936),1936,Cycling,Cycling Track,Ernest Alfred Johnson,GBR,Men,Team Pursuit (4000m) men,Bronze,0,0,1"
"Berlin (1936),1936,Cycling,Cycling Track,Charles Thomas King,GBR,Men,Team Pursuit (4000m) men,Bronze,0,0,1"
"Berlin (1936),1936,Cycling,Cycling Track,Ernest Victor Mills,GBR,Men,Team Pursuit (4000m) men,Bronze,0,0,1"
"Berlin (1936),1936,Cycling,Cycling Track,Robert Charpentier,FRA,Men,Team Pursuit (4000m) men,Gold,1,0,0"
"Berlin (1936),1936,Cycling,Cycling Track,Jean Goujon,FRA,Men,Team Pursuit (4000m) men,Gold,1,0,0"
"Berlin (1936),1936,Cycling,Cycling Track,Guy Lapebie,FRA,Men,Team Pursuit (4000m) men,Gold,1,0,0"
"Berlin (1936),1936,Cycling,Cycling Track,Roger Le nizerhy,FRA,Men,Team Pursuit (4000m) men,Gold,1,0,0"
"Berlin (1936),1936,Cycling,Cycling Track,Bianco Bianchi,ITA,Men,Team Pursuit (4000m) men,Silver,0,1,0"
"Berlin (1936),1936,Cycling,Cycling Track,Mario Gentili,ITA,Men,Team Pursuit (4000m) men,Silver,0,1,0"
"Berlin (1936),1936,Cycling,Cycling Track,Armando Latini,ITA,Men,Team Pursuit (4000m) men,Silver,0,1,0"
"Berlin (1936),1936,Cycling,Cycling Track,Severino Rigoni,ITA,Men,Team Pursuit (4000m) men,Silver,0,1,0"
"Berlin (1936),1936,Equestrian,Dressage,Alois Podhajsky,AUT,Men,individual,Bronze,0,0,1"
"Berlin (1936),1936,Equestrian,Dressage,Heinz Pollay,GER,Men,individual,Gold,1,0,0"
"Berlin (1936),1936,Equestrian,Dressage,Friedrich Gerhard,GER,Men,individual,Silver,0,1,0"
"Berlin (1936),1936,Equestrian,Dressage,Gregor Adlercreutz,SWE,Men,team,Bronze,0,0,1"
"Berlin (1936),1936,Equestrian,Dressage,Sven Colliander,SWE,Men,team,Bronze,0,0,1"
"Berlin (1936),1936,Equestrian,Dressage,Folke SandstrÃ¶m,SWE,Men,team,Bronze,0,0,1"
"Berlin (1936),1936,Equestrian,Dressage,Friedrich Gerhard,GER,Men,team,Gold,1,0,0"
"Berlin (1936),1936,Equestrian,Dressage,Heinz Pollay,GER,Men,team,Gold,1,0,0"
"Berlin (1936),1936,Equestrian,Dressage,Hermann Von oppeln-bronikowski,GER,Men,team,Gold,1,0,0"
"Berlin (1936),1936,Equestrian,Dressage,Gerard De ballorre,FRA,Men,team,Silver,0,1,0"
"Berlin (1936),1936,Equestrian,Dressage,Daniel Gillois,FRA,Men,team,Silver,0,1,0"
"Berlin (1936),1936,Equestrian,Dressage,Andre Rene Jousseaume,FRA,Men,team,Silver,0,1,0"
"Berlin (1936),1936,Equestrian,Eventing,Hans Matthiesen Lunding,DEN,Men,individual,Bronze,0,0,1"
"Berlin (1936),1936,Equestrian,Eventing,Ludwig Stubbendorf,GER,Men,individual,Gold,1,0,0"
"Berlin (1936),1936,Equestrian,Eventing,Earl Foster Thomson,USA,Men,individual,Silver,0,1,0"
"Berlin (1936),1936,Equestrian,Eventing,Richard Gennys Fanshawe,GBR,Men,team,Bronze,0,0,1"
"Berlin (1936),1936,Equestrian,Eventing,Edward Dacre Howard-vyse,GBR,Men,team,Bronze,0,0,1"
"Berlin (1936),1936,Equestrian,Eventing,Alec Brassey Jonathan Scott,GBR,Men,team,Bronze,0,0,1"
"Berlin (1936),1936,Equestrian,Eventing,Rudolf Lippert,GER,Men,team,Gold,1,0,0"
"Berlin (1936),1936,Equestrian,Eventing,Ludwig Stubbendorf,GER,Men,team,Gold,1,0,0"
"Berlin (1936),1936,Equestrian,Eventing,Konrad Von wangenheim,GER,Men,team,Gold,1,0,0"
"Berlin (1936),1936,Equestrian,Eventing,Zdzislaw Kawecki,POL,Men,team,Silver,0,1,0"
"Berlin (1936),1936,Equestrian,Eventing,Seweryn Kulesza,POL,Men,team,Silver,0,1,0"
"Berlin (1936),1936,Equestrian,Eventing,Henryk Roycewicz,POL,Men,team,Silver,0,1,0"
"Berlin (1936),1936,Equestrian,Jumping,H:: sello,HUN,Men,individual,Bronze,0,0,1"
"Berlin (1936),1936,Equestrian,Jumping,Jozsef Von platthy,HUN,Men,individual,Bronze,0,0,1"
"Berlin (1936),1936,Equestrian,Jumping,H:: tora,GER,Men,individual,Gold,1,0,0"
"Berlin (1936),1936,Equestrian,Jumping,Kurt Hasse,GER,Men,individual,Gold,1,0,0"
"Berlin (1936),1936,Equestrian,Jumping,H:: delfis,ROU,Men,individual,Silver,0,1,0"
"Berlin (1936),1936,Equestrian,Jumping,Henri Rang,ROU,Men,individual,Silver,0,1,0"
"Berlin (1936),1936,Equestrian,Jumping,Jose Beltrao,POR,Men,team,Bronze,0,0,1"
"Berlin (1936),1936,Equestrian,Jumping,Domingos De Sousa Coutinho (marques do funchal),POR,Men,team,Bronze,0,0,1"
"Berlin (1936),1936,Equestrian,Jumping,Luiz Silva,POR,Men,team,Bronze,0,0,1"
"Berlin (1936),1936,Equestrian,Jumping,Heinz Brandt,GER,Men,team,Gold,1,0,0"
"Berlin (1936),1936,Equestrian,Jumping,Kurt Hasse,GER,Men,team,Gold,1,0,0"
"Berlin (1936),1936,Equestrian,Jumping,Marten Von barnekow,GER,Men,team,Gold,1,0,0"
"Berlin (1936),1936,Equestrian,Jumping,Jan Adrianus De bruine,NED,Men,team,Silver,0,1,0"
"Berlin (1936),1936,Equestrian,Jumping,Johan Jacob Greter,NED,Men,team,Silver,0,1,0"
"Berlin (1936),1936,Equestrian,Jumping,Henri Louis Marie Van schaik,NED,Men,team,Silver,0,1,0"
"Berlin (1936),1936,Fencing,Fencing,Giancarlo C. Cornaggia-medici,ITA,Men,Ã©pÃ©e individual men,Bronze,0,0,1"
"Berlin (1936),1936,Fencing,Fencing,Franco Riccardi,ITA,Men,Ã©pÃ©e individual men,Gold,1,0,0"
"Berlin (1936),1936,Fencing,Fencing,Saverio Ragno,ITA,Men,Ã©pÃ©e individual men,Silver,0,1,0"
"Berlin (1936),1936,Fencing,Fencing,Georges Buchard,FRA,Men,Ã©pÃ©e team men,Bronze,0,0,1"
"Berlin (1936),1936,Fencing,Fencing,Philippe Cattiau,FRA,Men,Ã©pÃ©e team men,Bronze,0,0,1"
"Berlin (1936),1936,Fencing,Fencing,Henri Dulieux,FRA,Men,Ã©pÃ©e team men,Bronze,0,0,1"
"Berlin (1936),1936,Fencing,Fencing,Michel Pecheux,FRA,Men,Ã©pÃ©e team men,Bronze,0,0,1"
"Berlin (1936),1936,Fencing,Fencing,Bernard Schmetz,FRA,Men,Ã©pÃ©e team men,Bronze,0,0,1"
"Berlin (1936),1936,Fencing,Fencing,Paul Wormser,FRA,Men,Ã©pÃ©e team men,Bronze,0,0,1"
"Berlin (1936),1936,Fencing,Fencing,Giancarlo Brusati,ITA,Men,Ã©pÃ©e team men,Gold,1,0,0"
"Berlin (1936),1936,Fencing,Fencing,Giancarlo C. Cornaggia-medici,ITA,Men,Ã©pÃ©e team men,Gold,1,0,0"
"Berlin (1936),1936,Fencing,Fencing,Edoardo Mangiarotti,ITA,Men,Ã©pÃ©e team men,Gold,1,0,0"
"Berlin (1936),1936,Fencing,Fencing,Alfredo Pezzana,ITA,Men,Ã©pÃ©e team men,Gold,1,0,0"
"Berlin (1936),1936,Fencing,Fencing,Saverio Ragno,ITA,Men,Ã©pÃ©e team men,Gold,1,0,0"
"Berlin (1936),1936,Fencing,Fencing,Franco Riccardi,ITA,Men,Ã©pÃ©e team men,Gold,1,0,0"
"Berlin (1936),1936,Fencing,Fencing,Gustav Almgren,SWE,Men,Ã©pÃ©e team men,Silver,0,1,0"
"Berlin (1936),1936,Fencing,Fencing,Birger Cederin,SWE,Men,Ã©pÃ©e team men,Silver,0,1,0"
"Berlin (1936),1936,Fencing,Fencing,Hans Drakenberg,SWE,Men,Ã©pÃ©e team men,Silver,0,1,0"
"Berlin (1936),1936,Fencing,Fencing,Gustaf Dyrssen,SWE,Men,Ã©pÃ©e team men,Silver,0,1,0"
